Section,Function,URL
GDI & Direct2D API,IDWriteFactory::CreateTextFormat,https://learn.microsoft.com/en-us/windows/win32/api/dwrite/nf-dwrite-idwritefactory-createtextformat
GDI & Direct2D API,IDWriteTextFormat::SetParagraphAlignment,https://learn.microsoft.com/en-us/windows/win32/api/dwrite/nf-dwrite-idwritetextformat-setparagraphalignment
GDI & Direct2D API,IDWriteTextFormat::SetTextAlignment,https://learn.microsoft.com/en-us/windows/win32/api/dwrite/nf-dwrite-idwritetextformat-settextalignment
GDI & Direct2D API,IDWriteTextFormat::SetWordWrapping,https://learn.microsoft.com/en-us/windows/win32/api/dwrite/nf-dwrite-idwritetextformat-setwordwrapping
GDI & Direct2D API,InvalidateRect,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-invalidaterect
Generic Win32 API,CloseHandle,https://learn.microsoft.com/en-us/windows/win32/api/handleapi/nf-handleapi-closehandle
Generic Win32 API,CreateWindowW,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-createwindoww
Generic Win32 API,DefWindowProcW,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-defwindowprocw
Generic Win32 API,DestroyWindow,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-destroywindow
Generic Win32 API,DialogBoxW,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-dialogboxw
Generic Win32 API,DispatchMessage,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-dispatchmessage
Generic Win32 API,EnableMenuItem,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-enablemenuitem
Generic Win32 API,EndDialog,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-enddialog
Generic Win32 API,GetCurrentProcess,https://learn.microsoft.com/en-us/windows/win32/api/processthreadsapi/nf-processthreadsapi-getcurrentprocess
Generic Win32 API,GetMenu,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-getmenu
Generic Win32 API,GetMessage,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-getmessage
Generic Win32 API,GetProcessImageFileNameW,https://learn.microsoft.com/en-us/windows/win32/api/psapi/nf-psapi-getprocessimagefilenamew
Generic Win32 API,HIWORD,https://learn.microsoft.com/en-us/previous-versions/windows/desktop/legacy/ms632657(v=vs.85)
Generic Win32 API,InvalidateRect,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-invalidaterect
Generic Win32 API,LoadAcceleratorsW,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-loadacceleratorsw
Generic Win32 API,LoadCursorW,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-loadcursorw
Generic Win32 API,LoadIconW,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-loadiconw
Generic Win32 API,LoadStringW,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-loadstringw
Generic Win32 API,MAKEINTRESOURCEW,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-makeintresourcew
Generic Win32 API,PostMessageW,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-postmessagew
Generic Win32 API,PostQuitMessage,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-postquitmessage
Generic Win32 API,RegisterClassExW,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-registerclassexw
Generic Win32 API,SetDlgItemTextW,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-setdlgitemtextw
Generic Win32 API,ShowWindow,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-showwindow
Generic Win32 API,TranslateAcceleratorW,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-translateacceleratorw
Generic Win32 API,TranslateMessage,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-translatemessage
Generic Win32 API,UpdateWindow,https://learn.microsoft.com/en-us/windows/win32/api/winuser/nf-winuser-updatewindow
Math,_USE_MATH_DEFINES,https://learn.microsoft.com/en-us/cpp/c-runtime-library/math-constants?view=msvc-170
Math,cosf,https://en.cppreference.com/w/c/numeric/math/cos
Math,sinf,https://en.cppreference.com/w/c/numeric/math/sin
Math,sqrtf,https://en.cppreference.com/w/c/numeric/math/sqrt
Pragmas,"#pragma comment(lib, ""avrt"")",https://learn.microsoft.com/en-us/cpp/preprocessor/comment-c-cpp?view=msvc-170
Pragmas,#pragma message,https://learn.microsoft.com/en-us/cpp/preprocessor/message?view=msvc-170
Threads & Synchronization API,CreateEventExW,https://learn.microsoft.com/en-us/windows/win32/api/synchapi/nf-synchapi-createeventexw
Threads & Synchronization API,CreateEventW,https://learn.microsoft.com/en-us/windows/win32/api/synchapi/nf-synchapi-createeventw
Threads & Synchronization API,CreateThread,https://learn.microsoft.com/en-us/windows/win32/api/processthreadsapi/nf-processthreadsapi-createthread
Threads & Synchronization API,DeleteCriticalSection,https://learn.microsoft.com/en-us/windows/win32/api/synchapi/nf-synchapi-deletecriticalsection
Threads & Synchronization API,EnterCriticalSection,https://learn.microsoft.com/en-us/windows/win32/api/synchapi/nf-synchapi-entercriticalsection
Threads & Synchronization API,ExitThread,https://learn.microsoft.com/en-us/windows/win32/api/processthreadsapi/nf-processthreadsapi-exitthread
Threads & Synchronization API,InitializeCriticalSection,https://learn.microsoft.com/en-us/windows/win32/api/synchapi/nf-synchapi-initializecriticalsection
Threads & Synchronization API,LeaveCriticalSection,https://learn.microsoft.com/en-us/windows/win32/api/synchapi/nf-synchapi-leavecriticalsection
Threads & Synchronization API,ResetEvent,https://learn.microsoft.com/en-us/windows/win32/api/synchapi/nf-synchapi-resetevent
Threads & Synchronization API,SetEvent,https://learn.microsoft.com/en-us/windows/win32/api/synchapi/nf-synchapi-setevent
Threads & Synchronization API,ThreadProc,https://learn.microsoft.com/en-us/previous-versions/windows/desktop/legacy/ms686736(v=vs.85)
Threads & Synchronization API,WaitForMultipleObjects,https://learn.microsoft.com/en-us/windows/win32/api/synchapi/nf-synchapi-waitformultipleobjects
Threads & Synchronization API,WaitForSingleObject,https://learn.microsoft.com/en-us/windows/win32/api/synchapi/nf-synchapi-waitforsingleobject
